Device	Failed	Lifetime[s]	Split	Istress	L	W	Temp	DeviceID	Rref[Ohm]	TCR[%/°C]	Rref[Ohm](High I)	TCR[%/°C](High I)	Rref[Ohm](Low I)	TCR[%/°C](Low I)	R[Ohm] (stress)	Temperature[°C](High I)	Temperature[°C](Low I)	Temperature[°C](Opt)	R[Ohm](Init Temp Low I)	R[Ohm](stress Temp Low I)	R[Ohm](stress Temp High I)
21	1	873365	1	14	200	4	200	M2-001A6	5.139505	0.3525731	5.160531	0.3437812	5.139943	0.3523892	8.70348	199.7048	196.7435	196.6818	6.039819	8.756058	8.700789
53	1	1031772	2	14	400	4	200	M2-001A6	9.634872	0.341743	9.634701	0.3529253	9.634869	0.3419641	16.42215	199.6115	206.0011	206.1342	11.27147	16.21002	16.4194
22	1	1636558	1	14	200	4	200	M2-001A6	4.961837	0.331047	4.958746	0.3410726	4.961776	0.3312457	8.336129	199.6925	205.3067	205.4237	5.77548	8.240873	8.333046
54	1	1589756	2	14	400	4	200	M2-001A6	9.050521	0.4063111	9.216226	0.361683	9.054244	0.4052905	15.87356	199.7189	185.8327	185.5434	10.88694	16.38733	15.86825
23	1	1060573	1	14	200	4	200	M2-001A6	5.107297	0.3383387	5.113208	0.3431261	5.107416	0.3384351	8.617289	199.7225	203.0555	203.125	5.966122	8.555456	8.613538
55	1	1157777	2	14	400	4	200	M2-001A6	9.495364	0.3502444	9.506188	0.3556103	9.495581	0.3503523	16.25434	199.62	203.161	203.2348	11.14064	16.12962	16.2489
24	1	909366.5	1	14	200	4	200	M2-001A6	5.157299	0.3440358	5.168965	0.3402992	5.157539	0.3439587	8.679997	199.6044	198.5624	198.5406	6.038091	8.697334	8.676839
56	1	1006571	2	14	400	4	200	M2-001A6	9.551543	0.3544769	9.575164	0.3535558	9.552025	0.3544581	16.3381	199.7704	200.4279	200.4416	11.22964	16.31071	16.32663
25	1	1222580	1	14	200	4	200	M2-001A6	5.256727	0.3217762	5.245844	0.3375929	5.256515	0.3220842	8.782184	199.685	208.2449	208.4232	6.095777	8.634353	8.778055
57	1	1186578	2	14	400	4	200	M2-001A6	9.706046	0.3547675	9.731648	0.3538119	9.706569	0.354748	16.6042	199.5994	200.3154	200.3303	11.40763	16.57234	16.60025
26	1	1042572	1	14	200	4	200	M2-001A6	5.301915	0.3356901	5.314608	0.3365425	5.302172	0.3357075	8.888045	199.7906	201.4559	201.4906	6.191079	8.857223	8.883678
58	1	952568.5	2	14	400	4	200	M2-001A6	9.82017	0.3495324	9.846965	0.3500614	9.820715	0.3495432	16.73114	199.7125	201.3079	201.3412	11.52777	16.66938	16.725
27	1	1179378	1	14	200	4	200	M2-001A6	5.303219	0.314437	5.290771	0.3352723	5.30298	0.3148363	8.832266	199.6503	211.3888	211.6334	6.129473	8.634273	8.829229
59	1	898566.1	2	14	400	4	200	M2-001A6	9.801607	0.353653	9.824768	0.3516137	9.802082	0.3536111	16.72258	199.6748	199.661	199.6607	11.51993	16.71532	16.71653
28	1	714957.9	1	14	200	4	200	M2-001A6	5.233847	0.3504358	5.243268	0.3500507	5.234039	0.3504279	8.905265	199.5193	200.1591	200.1725	6.138901	8.88939	8.902738
60	1	884165.4	2	14	400	4	200	M2-001A6	9.796444	0.3419682	9.76896	0.3596393	9.795909	0.3423114	16.77559	199.4315	208.1466	208.3282	11.44991	16.48239	16.77084
29	1	1211780	1	14	200	4	200	M2-001A6	5.113469	0.3437585	5.139123	0.3402588	5.113995	0.3436863	8.632767	199.793	200.2021	200.2106	5.987687	8.622124	8.628939
61	1	1200979	2	14	400	4	200	M2-001A6	9.471509	0.3469341	9.478686	0.3543835	9.471653	0.347083	16.18548	199.661	204.226	204.3211	11.10388	16.03395	16.18118
30	1	1377387	1	14	200	4	200	M2-001A6	4.897484	0.3540357	4.918668	0.3469419	4.897923	0.353888	8.326456	199.6955	197.8019	197.7625	5.757375	8.355673	8.323681
62	1	1506993	2	14	400	4	200	M2-001A6	9.137122	0.344259	9.126193	0.3568572	9.136906	0.3445072	15.62888	199.6681	206.243	206.38	10.70146	15.42178	15.62404
